	Row.names	S.obs	S.chao1	se.chao1	S.ACE	se.ACE	Shannon	Simpson
1	KH1	77	81	3.88930998691943	79.8577970157104	4.05122459990321	3.35121631634556	0.927150915311671
2	KH10	59	68	8.04118248821798	63.656105169957	3.79731201142967	2.98789466742451	0.894007594536468
3	KH11	81	98	10.6542763922369	94.6183290040282	4.73498531357028	3.52381006507099	0.951997219910452
4	KH12	48	49.6666666666667	2.20346530313417	50.9727661089356	3.54872907983662	2.76792697464125	0.867046393490056
5	KH13	80	86.0666666666667	4.4371053812857	87.4959970605183	4.43404596890143	3.39524907739021	0.941133393588493
6	KH14	63	64	1.57990308247057	64.248379634913	3.88012784022112	3.50803005570343	0.953980867495324
7	KH16	103	123.647058823529	10.4796947127095	126.871071536031	5.57054753952628	3.55040776594488	0.941765774472693
8	KH19	87	104	10.654506958021	98.7865680776389	4.67190389387681	3.49777404937201	0.945639107388416
9	KH2	89	97.75	6.03993428803842	98.6195121176256	4.78699406244996	3.73660101480999	0.961678315003237
10	KH20	47	48.5	2.58913272109073	47.8851851851852	3.37563639015859	3.19365188905628	0.934533663841833
11	KH22	74	79	4.31224809923123	78.8148949637032	4.12531377572549	3.31765126532106	0.934369602763385
12	KH23	71	82	8.87339817217458	77.3028391285653	4.30038889870825	3.53978727503599	0.954528234911601
13	KH24	47	47	0.0618315315827802	47.3521747701062	3.41691201618729	3.04053239974818	0.922096342631122
14	KH25	51	56.1428571428571	4.64952852915862	57.0522762291637	3.65928403556812	2.51618458357305	0.848610402665545
15	KH253	69	77.6666666666667	6.41292787453646	78.5844313336413	4.35024607281235	3.17337323157229	0.92235585742794
16	KH254	40	40	0	40	3.1264996401727	2.69013994357465	0.889900101717869
17	KH255	79	98.25	10.8680130450328	96.141839852529	4.56059253845466	2.99882532255754	0.893616830876892
18	KH256	59	63	3.8887176601667	63.2197991680569	3.83963221142785	3.12634680195979	0.924463296553822
19	KH257	68	73.625	4.81282637824267	72.2932915653702	3.83340827205999	3.18321651051349	0.931616359574157
20	KH258	76	99.75	14.2861484088761	90.7408004297609	4.40547789313348	3.06552767370067	0.912682219656904
21	KH259	107	142.052631578947	15.2580233437348	149.990476190476	6.4533584979485	3.36656277774294	0.917613000796442
22	KH26	31	31	0	31	2.5272706175227	2.94422998017309	0.928567806443723
23	KH260	91	108.272727272727	10.2334734212106	105.539001366648	4.9241115558049	3.58757559389349	0.951000921724968
24	KH261	101	106.25	3.7999695722466	109.827688756471	4.80268804821219	3.65625489675404	0.939434615694381
25	KH262	125	154.291666666667	12.5019738127387	163.216977508143	6.58011917336638	3.66630145843521	0.932778210302439
26	KH263	127	153.714285714286	12.06540466459	153.945474061615	5.80029199006466	3.84529434889121	0.956838513189019
27	KH264	139	165	10.8218490799132	176.060634438073	6.51749085636721	3.92337043948464	0.957136806058925
28	KH265	190	241.418604651163	16.4833780936656	254.211888151432	7.8036119533289	4.10623018182581	0.956034613904624
29	KH266	270	427.042553191489	38.5468202652596	420.901995082861	11.4489636827737	4.78497905299308	0.982479768286099
30	KH267	199	331.076923076923	35.478333531252	348.899262899263	10.7423461076903	3.26648230861464	0.835118616159718
31	KH268	95	120	13.0132992207009	114.712682242421	5.05050547683928	3.53509597629654	0.950035944290824
32	KH27	49	49.75	1.42161310678288	50.0889839170382	3.49128183899167	3.16763382218381	0.934032531820392
33	KH270	52	54.1	2.33422435236459	56.571139265554	3.70017754198161	2.75875458670472	0.855435343528984
34	KH271	89	97.5	5.5498577886608	100.641841143865	4.85586999813617	3.63269942327006	0.958015278560797
35	KH273	89	101.75	7.9634748823669	100.349838641843	4.4430903766323	3.26875514348754	0.904385203480481
36	KH274	163	185.454545454545	9.50500667367028	188.715332687601	5.92005017701194	4.07075783262872	0.955809402787845
37	KH275	155	178.333333333333	10.2456103547231	178.418002020934	5.70429783039908	4.17995235583609	0.968111000742749
38	KH276	216	263.666666666667	15.3900674972649	277.874080061835	8.5647389450221	4.69395005629295	0.983526776259467
39	KH277	185	222.657894736842	13.4543203332253	228.833138894742	6.88780752260974	4.46461353569912	0.979274611398964
40	KH278	171	198.363636363636	10.9852688857472	201.529500490808	6.0971495730635	4.28252350112516	0.971493641887478
41	KH279	253	318.833333333333	19.3308656752487	316.124058125025	8.36822448126435	4.94230901115202	0.987294215206374
42	KH28	67	82.3	9.56145132910446	84.1065788833453	4.55074881002725	2.89693116736607	0.892019472558547
43	KH280	151	168.53125	8.00568104162923	175.826122991737	6.03008292313415	4.21541757508179	0.971498116280527
44	KH281	243	357.195652173913	30.0482755963342	375.572520318824	11.2972449442986	4.64322675237054	0.980348465730624
45	KH282	249	344	25.8256132507097	351.319171179462	9.69821092534835	4.83365543471113	0.984994377179402
46	KH283	210	271.285714285714	19.9161640688394	264.486557950655	7.58507584898039	4.55091155545056	0.977856228802563
47	KH284	182	243.090909090909	20.1915420354549	246.136481281278	7.82149746115977	4.27914203265814	0.97322523199728
48	KH285	206	268.813953488372	19.1996052648504	283.668852452644	9.14269665034892	4.32742543464149	0.966713498647242
49	KH286	113	169.4375	23.3735604142823	169.275210703103	6.90831975618878	3.70903695418131	0.95841349954212
50	KH288	54	54	0.0825581226857732	54.3113855266535	3.66953244367683	3.20711809942564	0.924958462717866
51	KH289	97	118.666666666667	11.2237040590981	122.23394824327	5.65203162619742	3.62056300680971	0.95377355395074
52	KH290	79	92.3333333333333	8.84802636918891	91.2111725688993	4.78549483122195	3.59670355864698	0.956790786329834
53	KH292	125	162.05	15.7074316369567	164.463577554517	6.61451817500817	3.80223021111852	0.957617057579473
54	KH293	67	67.1	0.381732461458477	67.7206781689305	3.95005030287298	3.50370455796219	0.95235218842564
55	KH295	215	288.488372093023	21.6701022478386	297.7859085184	8.89018905478295	4.43342654653372	0.973398241861825
56	KH296	197	250.636363636364	18.2538118843397	252.524157918945	7.76987987399103	4.62954946592021	0.983098725991153
57	KH297	184	212.888888888889	12.0103715089963	208.67091746062	6.35565307800487	4.68584324722696	0.985798276463798
58	KH298	212	278.071428571429	20.0871535594632	282.339904160747	8.31217567102992	4.49551315513798	0.9774237041412
59	KH299	259	342.142857142857	22.1901425364319	363.25723716325	9.89078280094894	4.85616688365166	0.985435850626862
60	KH3	49	49	0	49	3.16227766016838	3.40678102821901	0.947850949018766
61	KH300	258	343.56	23.394748592382	345.535827572055	9.6364495195685	4.86237871143626	0.983649076336128
62	KH31	137	164.038461538462	11.537149865535	168.913242712295	6.19606623751514	3.85687313235756	0.955925737007108
63	KH32	113	125.5	6.69201170762558	130.726167113519	5.2493053846443	3.51989320635238	0.937643367010598
64	KH33	137	178.052631578947	17.2600125246464	169.937872518136	6.16073805225998	3.851137142953	0.946912817942913
65	KH34	169	220.65625	17.8794911013039	223.939572205535	7.37629991275264	4.0506621860857	0.959840830924618
66	KH35	185	237.285714285714	17.6182981973724	242.22584251035	7.69882699628267	4.37579978455912	0.976672006109038
67	KH36	117	124	4.90489752321714	124.403199791285	5.1079405458869	4.21609204823913	0.977784638513786
68	KH37	163	196.108108108108	12.3049150091203	205.818589719145	6.59093228531273	3.88237188818272	0.948517633583004
69	KH38	162	234.730769230769	24.8028850369851	231.913588002313	7.88306254584051	4.08198027175852	0.966914846334428
70	KH39	198	240.558139534884	14.2983216584803	254.444711053401	7.98139327968868	4.52106026215479	0.980500595094275
71	KH4	98	113.4	8.67911771456932	113.96464890373	4.98197828341009	3.53200228073522	0.944563761592407
72	KH5	56	56.75	1.42188899337162	56.992426035503	3.71984700854338	3.43604403580981	0.953178459675278
73	KH6	58	58	0.165223638062817	58.2891547297985	3.72020836955437	3.56721785166331	0.95345736350864
74	KH8	143	192.04347826087	18.8081548661817	189.536685641581	6.9290755640091	4.07084916959227	0.971624890750236
75	KH9	60	60.6	1.18519581036675	61.0452189904993	3.88187543442268	3.6042948246091	0.963423328292184
